State,Winner,Confidence
Alabama,REP,99%
Alaska,REP,100%
Arizona,REP,93%
Arkansas,REP,100%
California,DEM,100%
Colorado,REP,50%
Connecticut,DEM,100%
Delaware,DEM,100%
District of Columbia,DEM,100%
Florida,REP,75%
Georgia,REP,93%
Hawaii,DEM,100%
Idaho,REP,100%
Illinois,DEM,100%
Indiana,REP,100%
Iowa,DEM,82%
Kansas,REP,97%
Kentucky,REP,97%
Louisiana,REP,97%
Maine,DEM,97%
Maryland,DEM,100%
Massachusetts,DEM,100%
Michigan,DEM,99%
Minnesota,DEM,100%
Mississippi,REP,95%
Missouri,REP,99%
Montana,REP,100%
Nebraska,REP,100%
Nevada,DEM,90%
New Hampshire,DEM,68%
New Jersey,DEM,100%
New Mexico,DEM,100%
New York,DEM,100%
North Carolina,REP,67%
North Dakota,REP,100%
Ohio,DEM,99%
Oklahoma,REP,100%
Oregon,DEM,93%
Pennsylvania,DEM,99%
Rhode Island,DEM,100%
South Carolina,REP,80%
South Dakota,REP,86%
Tennessee,REP,100%
Texas,REP,98%
Utah,REP,100%
Vermont,DEM,100%
Virginia,DEM,76%
Washington,DEM,100%
West Virginia,REP,97%
Wisconsin,DEM,95%
Wyoming,REP,100%
